month,male_counter,female_counter,andy,unknown_counter,number_of_articles
7,400,226,25,476,45
10,532,278,61,678,57
6,484,243,44,621,59
1,419,210,22,580,51
12,510,302,32,628,63
11,502,240,32,493,50
4,397,242,19,533,49
5,553,216,40,626,54
8,724,298,34,733,70
9,721,432,31,850,77
3,484,240,39,684,57
2,386,227,12,399,49
