month,male_counter,female_counter,andy,unknown_counter,number_of_articles
7,1187,407,7,1388,179
10,1545,418,75,1742,187
6,1608,588,30,1519,201
1,1169,437,77,1221,161
12,1426,562,65,1383,207
11,1232,415,38,1227,164
4,1138,405,18,1124,146
5,1274,437,53,1577,173
8,1372,365,46,1178,146
9,1203,458,29,1061,171
3,1463,411,31,1183,175
2,1032,339,14,1000,129
