month,male_counter,female_counter,andy,unknown_counter,number_of_articles
7,1978,408,69,1309,134
10,1461,279,15,964,109
6,2237,456,35,1392,131
1,1565,378,18,939,121
12,1851,358,108,1062,146
11,2700,669,50,1633,157
4,1132,243,10,619,82
5,1658,379,82,1064,113
8,2112,470,32,1006,131
9,1695,401,23,1141,126
3,1536,340,36,935,123
2,1475,299,20,684,112
