month,male_counter,female_counter,andy,unknown_counter,number_of_articles
6,47,8,0,55,2
1,22,12,0,35,2
4,151,60,36,64,5
5,30,28,0,5,1
9,31,2,0,6,1
3,140,35,4,98,6
2,67,38,4,57,4
