month,male_counter,female_counter,andy,unknown_counter,number_of_articles
7,534,123,8,462,63
10,642,146,7,567,64
6,685,130,7,756,69
1,863,124,45,671,83
12,1073,89,13,1185,106
11,1104,116,37,807,111
4,602,128,14,575,69
5,621,109,17,617,60
8,710,170,14,679,63
9,692,165,14,633,72
3,689,137,34,834,76
2,1225,506,445,1056,150
