month,male_counter,female_counter,andy,unknown_counter,number_of_articles
7,2382,853,104,3638,617
10,1932,630,109,2827,511
6,2149,799,71,3384,577
1,2307,701,93,2793,526
12,1801,539,90,2865,420
11,2371,764,120,3610,548
4,2142,656,149,3238,522
5,2174,712,100,3051,562
8,2105,659,87,2860,543
9,2171,687,117,3075,502
3,2250,627,79,3358,525
2,2311,670,100,2929,523
