month,male_counter,female_counter,andy,unknown_counter,number_of_articles
7,2981,575,557,3445,367
10,2645,811,1374,3556,382
6,2476,530,428,3026,346
1,2141,569,380,2321,304
12,2308,723,598,3194,348
11,2249,563,814,2883,356
4,2380,809,468,3226,320
5,2660,607,405,3287,313
8,1996,590,462,2979,322
9,2727,857,385,3327,367
3,3117,828,632,3705,389
2,2493,606,405,3228,301
