month,male_counter,female_counter,andy,unknown_counter,number_of_articles
7,737,235,54,1008,116
10,725,277,124,1035,129
6,791,322,74,1101,129
1,726,225,38,975,108
12,736,214,85,1094,124
11,922,262,119,1144,135
4,665,237,69,907,95
5,701,222,103,899,108
8,728,237,66,892,123
9,816,314,56,1156,135
3,1048,311,145,1132,139
2,622,217,49,869,89
