month,male_counter,female_counter,andy,unknown_counter,number_of_articles
7,293,128,7,394,45
10,314,139,7,460,48
6,372,126,7,472,50
1,410,144,4,422,49
12,357,153,17,490,48
11,463,134,21,382,52
4,297,164,6,507,57
5,408,162,42,495,62
8,336,151,11,426,51
9,341,112,19,377,43
3,445,194,21,642,62
2,327,121,15,429,46
