month,male_counter,female_counter,andy,unknown_counter,number_of_articles
1,4862,1534,97,5647,2784
2,4854,1582,78,5485,2605
3,5112,1810,114,6379,2884
4,4429,1602,78,5486,2352
5,4788,1470,75,5872,2527
6,4902,1521,90,5731,2496
7,5049,1810,62,6324,2728
8,3826,1500,63,4940,2350
9,4179,1522,88,5437,2259
10,4399,1467,71,5870,2463
11,4862,1375,76,5667,2572
12,3865,1621,112,5476,2189
