month,male_counter,female_counter,andy,unknown_counter,number_of_articles
1,21266,5768,816,30125,2784
2,19807,5633,690,30221,2605
3,19976,6261,889,34629,2884
4,16814,5487,694,28117,2352
5,17972,5110,700,27030,2527
6,20866,5411,754,28247,2496
7,22526,6191,654,32708,2728
8,13911,4953,558,24993,2350
9,16171,5507,675,26617,2259
10,17033,5849,596,29559,2463
11,17481,5498,759,28394,2572
12,17677,5387,887,26175,2189
