month,male_counter,female_counter,andy,unknown_counter,number_of_articles
10,272,48,2,132,13
3,545,217,26,513,35
6,495,128,7,451,30
5,427,121,26,369,44
1,354,74,3,223,26
2,540,111,7,270,30
11,194,93,2,184,21
8,313,64,10,316,22
9,301,129,9,162,18
7,347,116,10,245,28
4,191,47,21,158,13
12,306,67,1,205,15
