month,male_counter,female_counter,andy,unknown_counter,number_of_articles
10,194,116,55,455,52
3,138,74,0,265,47
6,158,73,7,262,50
5,187,75,4,245,47
1,118,68,19,214,44
2,134,74,11,160,44
11,183,106,5,289,49
8,182,70,6,215,48
9,141,74,6,164,38
7,122,59,3,209,40
4,71,30,6,100,25
12,282,154,27,488,58
