month,male_counter,female_counter,andy,unknown_counter,number_of_articles
10,199,31,25,117,18
3,352,49,1,118,31
5,193,43,2,116,21
6,185,26,0,75,18
1,283,47,3,109,20
2,287,40,0,151,21
11,153,31,1,79,14
8,193,33,7,94,17
9,117,27,2,57,16
7,383,70,1,222,28
4,201,41,1,84,12
12,152,39,1,112,12
