month,male_counter,female_counter,andy,unknown_counter,number_of_articles
10,171,53,0,127,36
3,153,31,1,98,36
6,129,38,1,120,36
5,215,73,13,131,47
1,188,73,6,86,49
2,191,47,7,146,47
11,164,59,3,151,43
8,158,45,14,109,37
9,155,57,1,129,44
7,132,46,3,94,38
4,99,30,6,90,26
12,196,53,1,168,43
