month,male_counter,female_counter,andy,unknown_counter,number_of_articles
10,69,26,0,54,14
3,20,5,0,36,7
5,40,18,0,71,8
6,0,0,0,0,1
1,60,13,0,37,16
2,30,5,0,38,9
11,24,12,0,63,13
8,37,15,2,64,16
9,13,5,0,33,7
7,55,23,0,49,11
4,6,2,0,10,3
12,35,11,3,62,14
