month,male_counter,female_counter,andy,unknown_counter,number_of_articles
10,3589,1131,718,4315,595
3,5254,938,240,4294,817
6,4435,1051,220,3198,687
5,4652,1144,126,2801,731
1,5110,1068,105,3221,829
2,4637,1033,165,3382,751
11,4072,1267,980,4522,659
8,4923,1216,623,3834,742
9,4330,1582,735,4434,686
7,4423,940,95,2756,686
4,2656,560,102,2214,481
12,3487,1112,745,3621,562
