month,male_counter,female_counter,andy,unknown_counter,number_of_articles
10,488,134,27,906,81
3,520,129,7,576,96
6,373,150,8,682,76
5,457,158,20,1117,88
1,381,126,36,494,69
2,386,101,4,424,66
11,841,225,27,2148,119
8,327,105,32,780,69
9,408,119,11,672,77
7,284,129,13,734,73
4,444,115,14,1186,75
12,510,169,41,1267,86
