month,male_counter,female_counter,andy,unknown_counter,number_of_articles
10,794,218,13,477,51
3,30,9,0,11,2
6,583,223,6,321,32
5,1042,262,14,678,57
11,2042,689,10,822,125
8,1001,251,12,506,52
9,603,156,5,380,33
7,500,106,20,260,31
4,100,27,0,79,10
12,504,76,6,198,31
