month,male_counter,female_counter,andy,unknown_counter,number_of_articles
10,374,152,68,552,77
3,617,150,9,480,103
6,431,181,23,500,115
5,686,236,24,684,115
1,431,152,10,346,94
2,571,163,13,427,105
11,605,184,87,543,103
8,463,128,14,434,107
9,348,127,22,355,76
7,467,167,12,586,99
4,445,85,24,567,69
12,534,176,28,461,87
