month,male_counter,female_counter,andy,unknown_counter,number_of_articles
10,211,59,10,159,32
3,243,60,1,122,28
6,298,79,5,178,30
5,180,46,3,151,23
1,191,60,3,123,25
2,154,67,0,130,23
11,387,212,40,323,64
8,396,100,9,303,44
9,248,105,9,179,39
7,212,42,5,174,28
4,175,49,1,94,22
12,336,104,12,287,55
