month,male_counter,female_counter,andy,unknown_counter,number_of_articles
10,5321,789,135,4830,441
3,5452,1105,110,6038,525
6,4619,1257,210,4576,454
5,4695,1024,174,5035,502
1,5357,824,331,4772,471
2,5066,1824,562,5141,647
11,6241,997,172,5968,577
8,4819,856,142,4338,401
9,5711,756,91,4992,482
7,3873,736,110,3451,353
4,3048,405,90,2821,254
12,5723,762,145,5696,479
