month,male_counter,female_counter,andy,unknown_counter,number_of_articles
10,668,108,7,597,60
3,1225,290,35,1043,107
6,1135,287,44,788,89
5,906,168,30,825,78
1,671,105,18,474,80
2,1148,211,30,840,94
11,568,99,27,612,54
8,1196,242,31,1037,97
9,631,155,14,615,66
7,1100,268,52,737,97
4,664,177,3,443,49
12,746,204,5,550,75
