month,male_counter,female_counter,andy,unknown_counter,number_of_articles
10,63,28,9,45,29
3,36,23,0,50,29
5,28,10,5,26,21
6,77,46,2,66,30
1,33,15,8,37,20
2,89,52,7,59,32
11,126,38,3,95,41
8,57,38,2,87,23
9,116,73,0,94,40
7,74,40,3,82,34
4,28,24,2,27,14
12,131,54,10,76,39
