month,male,female,andy,unknown,article_count
1,323,20,5,245,149
2,444,21,7,315,191
3,244,9,4,245,157
4,195,24,7,183,111
5,177,18,2,183,113
6,213,13,2,189,117
7,254,31,0,197,113
8,114,40,9,138,70
9,215,19,4,245,126
10,290,23,6,219,157
11,551,27,4,354,216
12,304,6,23,280,134
