month,male,female,andy,unknown,article_count
1,177,42,13,294,45
2,93,31,5,239,37
3,132,36,7,295,35
4,78,36,2,248,34
5,72,23,9,172,37
6,159,46,1,302,50
7,122,36,4,212,38
8,144,56,16,320,59
9,126,41,14,368,47
10,127,42,6,323,48
11,112,54,4,278,47
12,154,49,9,312,47
