month,male,female,andy,unknown,article_count
1,148,86,7,408,60
2,129,62,11,415,46
3,92,65,8,328,44
4,95,32,6,324,35
5,84,51,3,261,34
6,143,40,10,303,40
7,97,28,7,227,45
8,144,68,9,389,56
9,178,54,16,316,45
10,189,68,6,356,53
11,159,67,6,362,53
12,103,41,2,260,32
