month,male,female,andy,unknown,article_count
1,310,88,5,328,163
2,285,87,1,276,156
3,290,70,3,334,179
4,195,50,5,279,120
5,383,135,6,451,196
6,336,110,5,385,173
7,404,105,0,465,184
8,349,82,0,455,206
9,463,121,7,529,203
10,466,133,3,671,254
11,503,128,4,569,244
12,240,77,5,244,155
