month,male,female,andy,unknown,article_count
1,493,165,14,571,220
2,1193,323,19,1294,432
3,1918,605,62,2319,763
4,982,461,9,1185,377
5,778,186,25,892,326
6,582,169,7,647,227
7,558,172,4,607,228
8,528,141,10,549,199
9,622,235,17,756,240
10,463,108,22,648,216
11,641,228,18,826,261
12,286,84,9,437,135
