month,male,female,andy,unknown,article_count
1,67,80,4,189,16
2,106,88,2,195,17
3,47,47,2,134,9
4,59,55,6,137,14
5,98,64,3,224,12
6,24,25,1,77,5
7,30,30,3,125,11
8,26,22,0,61,5
9,13,15,1,26,3
10,50,42,2,113,8
11,41,34,1,94,4
12,4,7,0,20,2
