month,male,female,andy,unknown,article_count
1,94,98,0,138,110
2,114,92,0,167,96
3,173,83,2,202,105
4,94,63,0,178,95
5,127,55,0,152,80
6,95,66,0,121,65
7,103,80,0,123,73
8,148,94,0,170,85
9,143,92,0,178,77
10,184,72,0,125,83
11,75,24,0,117,64
12,80,43,2,133,50
