month,male,female,andy,unknown,article_count
1,12,15,2,12,16
2,15,28,0,19,17
3,8,13,0,20,9
4,7,27,0,28,14
5,15,25,4,30,12
6,1,0,0,5,5
7,6,19,0,14,11
8,4,11,0,15,5
9,7,13,0,9,3
10,5,15,0,15,8
11,4,1,0,4,4
12,2,1,0,2,2
