month,male,female,andy,unknown,article_count
1,401,99,43,1380,152
2,540,124,39,1332,144
3,449,211,41,1327,159
4,371,104,29,1017,122
5,385,115,45,1229,148
6,378,129,35,1034,132
7,410,86,31,1213,139
8,356,104,39,1185,138
9,531,171,34,1455,166
10,347,93,27,1114,140
11,405,120,28,1182,145
12,179,40,11,565,60
