month,male,female,andy,unknown,article_count
1,184,45,13,264,21
2,91,19,2,172,14
3,460,120,28,779,47
4,257,81,23,512,31
5,131,38,8,208,14
6,193,42,23,434,26
7,90,26,12,189,16
8,58,12,4,117,8
9,108,36,5,161,12
10,81,36,2,150,13
11,74,18,9,133,11
12,21,9,2,69,6
