month,male,female,andy,unknown,article_count
1,207,20,0,129,120
2,60,4,1,58,42
3,72,15,2,108,106
4,108,2,0,62,59
5,185,0,0,140,91
6,243,27,0,230,145
7,149,27,0,205,113
8,116,1,0,128,101
9,170,10,0,177,87
10,120,0,0,142,71
11,144,1,1,137,76
12,180,20,2,150,107
