month,male,female,andy,unknown,article_count
1,95,26,8,101,45
2,70,31,2,109,37
3,76,14,1,85,35
4,52,37,1,91,34
5,44,21,4,95,37
6,93,26,0,145,50
7,65,18,0,102,38
8,114,40,3,121,59
9,94,39,10,127,47
10,97,46,4,114,48
11,61,32,1,91,47
12,85,28,1,136,47
