month,male,female,andy,unknown,article_count
1,448,163,10,574,46
2,351,186,4,453,40
3,364,185,23,379,45
4,223,92,4,231,26
5,250,87,5,368,27
6,254,111,6,272,37
7,194,136,4,230,31
8,288,109,14,415,49
9,374,140,8,362,40
10,247,128,5,249,29
11,422,182,15,445,34
12,499,226,25,534,39
