month,male,female,andy,unknown,article_count
1,10,2,0,17,14
2,8,2,0,13,15
3,7,0,0,5,8
4,5,6,1,8,7
5,4,48,0,21,10
6,1,10,0,5,4
7,10,2,0,4,5
8,13,9,0,18,9
9,4,1,0,7,4
10,4,1,0,3,4
11,4,1,0,11,6
12,0,0,0,9,2
