month,male,female,andy,unknown,article_count
1,318,96,24,1000,123
2,431,154,15,1065,121
3,258,96,16,829,97
4,379,89,17,902,98
5,487,172,18,842,130
6,287,103,17,806,101
7,435,156,14,1038,133
8,362,145,11,908,135
9,362,164,19,900,117
10,558,203,29,1266,159
11,487,143,22,866,113
12,204,54,8,505,75
