month,male,female,andy,unknown,article_count
1,37,31,3,151,17
2,57,63,10,182,15
3,73,45,4,147,15
4,32,49,1,134,9
5,28,40,1,121,12
6,33,48,3,120,10
7,18,20,2,82,8
8,21,31,2,57,8
9,29,44,2,59,7
10,28,26,8,113,13
11,63,59,4,163,15
12,23,18,3,80,7
