month,male,female,andy,unknown,article_count
1,206,71,1,271,130
2,98,86,0,228,102
3,88,90,0,136,89
4,134,61,1,270,94
5,128,62,3,200,92
6,65,33,0,129,73
7,119,44,0,228,109
8,133,61,0,226,108
9,101,54,0,180,97
10,160,48,1,205,97
11,151,48,5,209,89
12,218,115,2,325,109
