month,male,female,andy,unknown,article_count
1,164,70,7,193,102
2,111,35,3,131,75
3,97,57,5,110,58
4,243,98,4,319,134
5,187,50,4,208,88
6,168,68,3,190,91
7,179,77,12,269,110
8,133,96,0,277,105
9,161,83,7,203,92
10,165,68,1,227,93
11,190,50,4,269,116
12,144,41,5,243,90
