month,male,female,andy,unknown,article_count
1,46,51,3,61,36
2,36,24,0,36,47
3,50,17,1,53,52
4,9,3,0,24,34
5,29,29,0,52,44
6,33,6,0,25,40
7,8,9,0,12,36
8,17,24,0,40,34
9,30,42,1,43,42
10,27,18,0,25,38
11,49,7,0,40,50
12,39,21,0,36,43
