month,male,female,andy,unknown,article_count
1,2234,213,83,2962,149
2,3357,304,85,3585,191
3,2441,321,83,2504,157
4,1260,110,110,2214,111
5,1451,141,81,2167,113
6,1948,175,46,2306,117
7,2078,419,58,1868,113
8,602,167,41,831,70
9,1495,200,89,2304,126
10,1814,411,87,2957,157
11,3094,433,70,3189,216
12,2075,143,111,2742,134
