month,male,female,andy,unknown,article_count
1,1254,348,46,1906,140
2,405,65,10,496,38
3,435,145,2,501,47
4,372,152,0,363,42
5,653,188,10,789,74
6,1264,514,54,1461,115
7,1063,444,26,1889,85
8,630,336,6,656,65
9,538,123,5,710,54
10,160,74,2,172,21
11,312,129,2,273,34
12,51,18,0,79,7
