month,male,female,andy,unknown,article_count
1,3,2,1,23,12
2,21,37,1,66,18
3,60,29,2,80,22
4,50,27,9,49,19
5,41,35,0,66,18
6,42,18,2,37,15
7,40,24,3,81,16
8,41,42,8,78,19
9,31,9,1,44,15
10,54,44,2,20,15
11,26,40,2,61,15
12,11,3,0,16,8
