month,male,female,andy,unknown,article_count
1,96,22,4,74,12
2,66,23,4,96,14
3,85,25,10,95,11
4,47,34,3,76,9
5,76,20,2,88,10
6,17,6,0,38,4
7,71,17,3,73,12
8,71,32,0,141,10
9,25,8,1,30,4
10,26,5,1,53,7
11,85,32,1,145,11
12,114,52,1,108,8
