month,male,female,andy,unknown,article_count
1,187,23,2,185,16
2,219,22,9,262,21
3,226,24,4,246,26
4,548,82,20,822,45
5,539,55,6,618,44
6,650,50,13,527,48
7,1535,135,37,1323,96
8,365,79,18,338,34
9,366,23,1,304,27
10,185,8,2,151,16
11,181,6,0,106,14
12,19,0,1,32,3
