month,male,female,andy,unknown,article_count
1,164,67,4,154,110
2,163,43,2,88,74
3,74,43,1,73,51
4,98,23,1,89,58
5,131,42,1,86,57
6,111,43,2,129,70
7,68,14,4,69,45
8,77,32,2,98,58
9,126,36,5,132,71
10,148,45,1,96,69
11,105,60,0,130,72
12,76,24,0,95,56
