month,male,female,andy,unknown,article_count
1,458,147,24,1185,102
2,288,100,17,821,75
3,223,75,29,737,58
4,659,236,34,2141,134
5,414,108,35,1169,88
6,333,134,16,1092,91
7,373,157,32,1249,110
8,550,188,27,1331,105
9,433,174,11,998,92
10,413,199,15,1235,93
11,515,166,28,1519,116
12,601,247,28,1247,90
