month,male,female,andy,unknown,article_count
1,25,3,2,36,19
2,48,2,0,42,17
3,145,9,1,147,47
4,83,1,0,52,27
5,125,13,1,78,43
6,98,1,0,64,28
7,105,4,1,75,39
8,63,0,0,19,23
9,123,0,0,58,30
10,102,3,2,82,37
11,92,4,3,75,31
12,8,0,0,13,6
