month,male,female,andy,unknown,article_count
1,279,77,8,487,140
2,111,11,2,110,38
3,81,13,0,158,47
4,101,19,2,98,42
5,157,57,0,229,74
6,277,119,1,287,115
7,170,107,2,294,85
8,116,64,0,158,65
9,102,12,0,164,54
10,22,9,0,57,21
11,58,30,0,80,34
12,9,11,0,15,7
