month,male,female,andy,unknown,article_count
1,290,165,3,324,14
2,156,98,4,140,15
3,102,33,2,93,8
4,60,55,2,115,7
5,175,96,1,161,10
6,68,40,1,53,4
7,48,23,0,31,5
8,139,47,4,135,9
9,34,10,0,33,4
10,24,10,6,31,4
11,101,51,5,119,6
12,4,3,1,30,2
