month,male,female,andy,unknown,article_count
1,170,56,3,122,85
2,113,41,0,108,65
3,102,69,1,175,57
4,77,59,0,102,48
5,174,58,2,238,76
6,205,85,0,256,96
7,253,198,4,400,147
8,281,127,4,367,121
9,321,192,2,577,152
10,267,135,11,485,135
11,134,48,1,170,74
12,66,28,3,122,45
