month,male,female,andy,unknown,article_count
1,189,17,16,263,19
2,230,19,12,204,17
3,521,65,33,552,47
4,303,48,28,289,27
5,552,91,28,482,43
6,325,46,14,278,28
7,520,41,45,452,39
8,240,20,7,255,23
9,364,46,27,355,30
10,356,42,78,397,37
11,286,55,29,359,31
12,46,8,2,84,6
