month,male,female,andy,unknown,article_count
1,130,29,1,196,152
2,182,38,1,219,144
3,143,92,1,236,159
4,141,34,2,183,122
5,150,37,4,213,148
6,148,46,6,216,132
7,199,22,0,194,139
8,148,41,0,191,138
9,240,66,7,307,166
10,142,41,1,170,140
11,157,48,1,197,145
12,63,8,0,105,60
