month,male,female,andy,unknown,article_count
1,32,12,3,93,12
2,27,15,0,132,11
3,29,21,2,117,14
4,30,22,0,123,13
5,123,77,8,212,28
6,29,23,1,124,12
7,39,18,0,122,13
8,11,5,0,53,9
9,15,3,1,64,8
10,8,6,2,57,6
11,13,11,1,72,10
12,15,11,0,80,8
